file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,arbitraryBars/0,false,86,2,2,1,1,2,2,7,1,2,0,2,0,0,1,0,0,1,0,8,2,6,1,0,0,0,7,10,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,timesToBars/1[java.time.ZonedDateTime[]],false,77,2,2,1,1,2,1,8,1,2,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,12,10,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,"MockTimeSeries/2[double[],java.time.ZonedDateTime[]]",true,46,2,3,2,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,MockTimeSeries/0,true,54,1,12,11,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\BearishEngulfingIndicator.java,org.ta4j.core.indicators.candles.BearishEngulfingIndicator,BearishEngulfingIndicator/1[org.ta4j.core.TimeSeries],true,44,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\BearishEngulfingIndicator.java,org.ta4j.core.indicators.candles.BearishEngulfingIndicator,calculate/1[int],false,50,3,7,0,7,4,7,15,3,6,1,7,0,0,0,0,0,0,0,2,6,1,1,0,0,0,11,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\volume\MVWAPIndicator.java,org.ta4j.core.indicators.volume.MVWAPIndicator,calculate/1[int],false,50,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\volume\MVWAPIndicator.java,org.ta4j.core.indicators.volume.MVWAPIndicator,"MVWAPIndicator/2[org.ta4j.core.indicators.volume.VWAPIndicator,int]",true,44,2,2,1,1,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\DoubleEMAIndicatorTest.java,org.ta4j.core.indicators.DoubleEMAIndicatorTest,doubleEMAUsingTimeFrame5UsingClosePrice/0,false,48,4,3,0,3,1,2,12,0,1,0,2,0,0,0,0,0,0,0,19,1,0,0,0,0,0,15,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\DoubleEMAIndicatorTest.java,org.ta4j.core.indicators.DoubleEMAIndicatorTest,setUp/0,false,38,4,2,0,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,10,1,0,false
